主,客,主得,,主失,,客得,,客失,,主10,,客10,,主,客,勝負,,,,,
籃網,灰熊,109.00,-0.76,104.90,-1.79,110.80,-0.40,108.20,-0.87,0.60,0.61,0.60,0.46,127.00,115.00,1.00,12.00,5.29,0.00,,
騎士,熱火,115.30,0.72,112.50,0.03,111.70,-0.20,110.40,-0.39,0.50,0.05,0.50,-0.06,113.00,87.00,1.00,26.00,0.72,1.00,1.00,26.00
獨行俠,金塊,105.50,-1.59,102.90,-2.27,115.20,0.56,112.80,0.14,0.70,1.18,0.60,0.46,97.00,98.00,0.00,-1.00,9.61,0.00,,
湖人,馬刺,113.40,0.27,117.90,1.33,106.30,-1.39,121.20,1.99,0.40,-0.52,0.10,-2.17,123.00,92.00,1.00,31.00,12.69,0.00,,
76人,籃網,108.70,-0.84,106.00,-1.53,110.10,-0.56,105.50,-1.47,0.60,0.61,0.60,0.46,115.00,106.00,1.00,9.00,6.07,0.00,,
灰熊,國王,111.80,-0.10,108.80,-0.85,125.00,2.72,116.80,1.02,0.60,0.61,0.80,1.51,109.00,113.00,0.00,-4.00,11.81,0.00,,
金塊,活塞,113.30,0.25,112.40,0.01,107.50,-1.13,117.30,1.13,0.60,0.61,0.10,-2.17,108.00,110.00,0.00,-2.00,7.68,0.00,,
太陽,湖人,112.90,0.16,108.90,-0.83,115.50,0.63,116.00,0.84,0.50,0.05,0.50,-0.06,115.00,105.00,1.00,10.00,1.83,1.00,1.00,10.00
溜馬,灰狼,116.20,0.94,109.80,-0.61,113.70,0.23,115.30,0.69,0.80,1.74,0.50,-0.06,101.00,115.00,0.00,-14.00,4.81,0.00,,
黃蜂,76人,106.40,-1.38,115.80,0.83,108.80,-0.84,105.70,-1.42,0.10,-2.21,0.60,0.46,107.00,101.00,1.00,6.00,10.41,0.00,,
騎士,拓荒者,114.50,0.53,109.30,-0.73,107.10,-1.21,107.80,-0.96,0.50,0.05,0.50,-0.06,114.00,96.00,1.00,18.00,3.22,0.00,,
老鷹,國王,113.30,0.25,112.70,0.08,124.80,2.67,116.90,1.04,0.60,0.61,0.80,1.51,115.00,106.00,1.00,9.00,10.95,0.00,,
熱火,巫師,107.60,-1.10,109.40,-0.71,108.10,-0.99,108.00,-0.92,0.40,-0.52,0.70,0.99,113.00,105.00,1.00,8.00,4.77,0.00,,
暴龍,籃網,114.50,0.53,112.40,0.01,110.80,-0.40,106.20,-1.31,0.50,0.05,0.60,0.46,98.00,112.00,0.00,-14.00,2.38,1.00,0.00,-14.00
賽爾提克,獨行俠,121.70,2.23,112.80,0.11,103.80,-1.94,102.20,-2.19,0.90,2.30,0.60,0.46,125.00,112.00,1.00,13.00,19.08,0.00,,
馬刺,鵜鶘,105.50,-1.59,119.20,1.64,116.00,0.74,109.30,-0.63,0.10,-2.21,0.60,0.46,110.00,129.00,0.00,-19.00,11.27,0.00,,
公鹿,公牛,110.60,-0.39,108.70,-0.88,110.00,-0.58,110.00,-0.48,0.60,0.61,0.40,-0.59,113.00,118.00,0.00,-5.00,2.20,1.00,0.00,-5.00
雷霆,金塊,118.80,1.55,122.20,2.36,113.10,0.10,111.30,-0.19,0.30,-1.08,0.60,0.46,126.00,131.00,0.00,-5.00,9.41,0.00,,
爵士,活塞,119.10,1.62,116.40,0.97,109.40,-0.71,116.50,0.95,0.60,0.61,0.20,-1.64,116.00,125.00,0.00,-9.00,8.05,0.00,,
勇士,快艇,114.30,0.49,115.40,0.73,110.20,-0.53,105.50,-1.47,0.50,0.05,0.70,0.99,124.00,107.00,1.00,17.00,4.18,0.00,,
黃蜂,灰狼,107.20,-1.19,112.90,0.13,114.50,0.41,113.80,0.36,0.20,-1.65,0.60,0.46,110.00,108.00,1.00,2.00,4.65,0.00,,
魔術,76人,112.40,0.04,115.50,0.75,107.10,-1.21,105.30,-1.51,0.40,-0.52,0.50,-0.06,99.00,107.00,0.00,-8.00,4.59,0.00,,
尼克,拓荒者,112.80,0.13,116.90,1.09,105.90,-1.48,108.60,-0.78,0.50,0.05,0.40,-0.59,129.00,132.00,0.00,-3.00,4.35,0.00,,
馬刺,湖人,105.90,-1.50,120.80,2.03,113.90,0.28,116.50,0.95,0.10,-2.21,0.40,-0.59,94.00,105.00,0.00,-11.00,12.56,0.00,,
溜馬,籃網,113.80,0.37,109.70,-0.64,109.20,-0.75,107.40,-1.05,0.70,1.18,0.60,0.46,128.00,117.00,1.00,11.00,3.80,0.00,,
公鹿,騎士,110.30,-0.46,111.40,-0.23,114.70,0.45,110.10,-0.45,0.50,0.05,0.50,-0.06,117.00,102.00,1.00,15.00,0.68,1.00,1.00,15.00
火箭,老鷹,107.80,-1.05,113.50,0.27,113.60,0.21,113.40,0.27,0.20,-1.65,0.60,0.46,128.00,122.00,1.00,6.00,4.21,0.00,,
灰熊,鵜鶘,111.60,-0.15,109.50,-0.69,117.50,1.07,109.80,-0.52,0.50,0.05,0.60,0.46,132.00,111.00,1.00,21.00,2.12,1.00,1.00,21.00
熱火,巫師,107.90,-1.02,109.20,-0.76,106.50,-1.35,108.20,-0.87,0.40,-0.52,0.60,0.46,110.00,107.00,1.00,3.00,4.67,0.00,,
雷霆,公牛,120.40,1.93,123.10,2.58,111.00,-0.36,111.40,-0.17,0.30,-1.08,0.40,-0.59,123.00,119.00,1.00,4.00,12.03,0.00,,
賽爾提克,國王,121.90,2.28,112.10,-0.06,124.70,2.65,117.40,1.15,0.90,2.30,0.80,1.51,122.00,104.00,1.00,18.00,21.15,0.00,,
太陽,活塞,112.80,0.13,108.70,-0.88,113.10,0.10,116.90,1.04,0.50,0.05,0.30,-1.12,108.00,102.00,1.00,6.00,3.13,0.00,,
勇士,爵士,113.80,0.37,113.10,0.18,117.70,1.11,117.30,1.13,0.60,0.61,0.50,-0.06,129.00,118.00,1.00,11.00,3.06,0.00,,
快艇,金塊,109.60,-0.62,107.30,-1.21,114.00,0.30,112.90,0.16,0.60,0.61,0.60,0.46,104.00,114.00,0.00,-10.00,2.56,1.00,0.00,-10.00
籃網,拓荒者,111.10,-0.27,110.80,-0.37,110.90,-0.38,111.30,-0.19,0.05,-2.49,0.50,-0.06,111.00,97.00,1.00,14.00,6.61,0.00,,
灰狼,勇士,115.10,0.68,113.30,0.23,116.20,0.78,113.50,0.29,0.60,0.61,0.70,0.99,114.00,137.00,0.00,-23.00,2.56,1.00,0.00,-23.00
快艇,溜馬,109.80,-0.58,107.70,-1.12,115.70,0.67,109.80,-0.52,0.60,0.61,0.80,1.51,114.00,100.00,1.00,14.00,4.97,0.00,,
老鷹,熱火,113.40,0.27,114.10,0.42,109.00,-0.80,109.80,-0.52,0.50,0.05,0.50,-0.06,98.00,106.00,0.00,-8.00,1.16,1.00,0.00,-8.00
尼克,灰熊,113.90,0.39,116.80,1.07,111.80,-0.18,110.70,-0.32,0.50,0.05,0.50,-0.06,123.00,127.00,0.00,-4.00,1.43,1.00,0.00,-4.00
活塞,騎士,112.10,-0.03,117.40,1.21,113.50,0.19,111.80,-0.08,0.20,-1.65,0.40,-0.59,94.00,102.00,0.00,-8.00,4.57,0.00,,
魔術,76人,109.30,-0.69,113.30,0.23,106.70,-1.30,103.10,-1.99,0.30,-1.08,0.60,0.46,103.00,133.00,0.00,-30.00,7.58,0.00,,
賽爾提克,巫師,120.80,2.02,110.70,-0.40,108.60,-0.88,106.40,-1.27,0.90,2.30,0.60,0.46,130.00,121.00,1.00,9.00,12.16,0.00,,
公鹿,獨行俠,110.50,-0.41,111.40,-0.23,103.60,-1.98,104.20,-1.75,0.50,0.05,0.40,-0.59,124.00,115.00,1.00,9.00,7.57,0.00,,
76人,老鷹,109.60,-0.62,102.80,-2.29,111.50,-0.25,114.90,0.60,0.70,1.18,0.40,-0.59,104.00,101.00,1.00,3.00,7.80,0.00,,
巫師,灰狼,111.00,-0.29,109.10,-0.78,113.60,0.21,115.30,0.69,0.60,0.61,0.50,-0.06,142.00,127.00,1.00,15.00,1.59,1.00,1.00,15.00
籃網,魔術,112.80,0.13,110.90,-0.35,107.30,-1.17,114.00,0.40,0.60,0.61,0.30,-1.12,109.00,102.00,1.00,7.00,3.29,0.00,,
暴龍,騎士,109.50,-0.65,112.50,0.03,112.00,-0.14,109.30,-0.63,0.50,0.05,0.50,-0.06,100.00,88.00,1.00,12.00,0.84,1.00,1.00,12.00
賽爾提克,黃蜂,122.90,2.52,112.20,-0.04,108.80,-0.84,113.90,0.38,0.90,2.30,0.30,-1.12,140.00,105.00,1.00,35.00,13.75,0.00,,
鵜鶘,雷霆,116.50,1.01,110.60,-0.42,123.50,2.39,124.80,2.78,0.60,0.61,0.40,-0.59,105.00,101.00,1.00,4.00,15.32,0.00,,
爵士,公牛,115.80,0.84,119.70,1.76,112.30,-0.07,114.90,0.60,0.30,-1.08,0.30,-1.12,107.00,114.00,0.00,-7.00,6.60,0.00,,
金塊,火箭,112.80,0.13,113.20,0.20,113.00,0.08,115.80,0.80,0.60,0.61,0.40,-0.59,129.00,113.00,1.00,16.00,1.43,1.00,1.00,16.00
國王,太陽,122.50,2.42,117.30,1.19,114.10,0.32,111.10,-0.23,0.70,1.18,0.60,0.46,117.00,122.00,0.00,-5.00,9.03,0.00,,
湖人,溜馬,115.10,0.68,115.00,0.63,115.60,0.65,111.30,-0.19,0.50,0.05,0.70,0.99,115.00,116.00,0.00,-1.00,2.30,1.00,0.00,-1.00
活塞,尼克,110.30,-0.46,114.80,0.59,114.20,0.34,118.80,1.46,0.20,-1.65,0.40,-0.59,,,,,,,,
獨行俠,勇士,105.50,-1.59,107.20,-1.24,118.30,1.24,113.60,0.32,0.30,-1.08,0.70,0.99,,,,,,,,
拓荒者,快艇,109.60,-0.62,111.70,-0.16,109.30,-0.73,106.00,-1.36,0.40,-0.52,0.60,0.46,,,,,,,,
